; CSV, generated by atk_libsigrok4 1.0.0 on 2026-05-10 21:20:10
; Channels (14/16)
; ChannelsType: 32639
; Sample rate: 50 MHz
; Sample count: 2.384186 M
; Sampling time: 2026-05-10 21:19:48.397
SystemTime, Time(s), OE, LAT , A, B, C, D, E, R1, G1, B1, R2, G2, B2, CLK
'2026-05-10 21:19:48.494436860,0.031436860,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.494613400,0.031613400,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.494613420,0.031613420,0,0,0,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.494790340,0.031790340,0,0,1,1,0,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.494966900,0.031966900,0,0,0,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.495143480,0.032143480,0,0,1,0,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.495320060,0.032320060,0,0,0,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.495496640,0.032496640,0,0,1,1,1,0,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.495673580,0.032673580,0,0,0,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.495850140,0.032850140,0,0,1,0,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.496026700,0.033026700,0,0,0,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.496203240,0.033203240,0,0,1,1,0,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.496379800,0.033379800,0,0,0,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.496556340,0.033556340,0,0,1,0,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.496733260,0.033733260,0,0,0,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.496909800,0.033909800,0,0,1,1,1,1,0,0,0,0,0,0,0,0
'2026-05-10 21:19:48.497086380,0.034086380,0,0,0,0,0,1,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.497086400,0.034086400,0,0,0,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.497262940,0.034262940,0,0,1,0,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.497439480,0.034439480,0,0,1,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.497439500,0.034439500,0,0,0,1,0,0,1,0,0,0,0,0,0,0
'2026-05-10 21:19:48.497616040,0.034616040,0,0,1,1,0,0,1,0,0,0,0,0,0,0
